Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-11-17 19:46:48,,UTC-08:00,87,55,83,33.82,95.26,,,,,2025-11-17 19:46:48,2025-11-18 05:09:22,80,15.5,492,562,261,154,77,70,454,4,87,53
2025-11-16 21:46:47,2025-11-17 19:46:48,UTC-08:00,66,55,67,33.42,94.75,4.3,1706,117,60,2025-11-16 21:46:47,2025-11-17 05:54:53,85,15.4,462,488,260,123,79,26,472,0,94,69
2025-11-15 22:25:13,2025-11-16 21:46:47,UTC-08:00,78,53,75,33.73,95.31,13.0,2312,169,66,2025-11-15 22:25:13,2025-11-16 08:10:00,84,14.5,524,584,290,163,71,60,420,0,89,62
2025-11-14 21:30:09,2025-11-15 22:25:13,UTC-08:00,54,53,58,34.03,96.00,17.2,2934,175,68,2025-11-14 21:30:09,2025-11-15 06:58:27,99,15.4,549,568,329,133,87,19,454,0,96,89
2025-11-13 22:01:38,2025-11-14 21:30:09,UTC-08:00,61,55,63,33.69,96.94,7.8,2024,148,61,2025-11-13 22:01:38,2025-11-14 06:38:26,97,15.0,477,516,227,170,80,39,473,0,92,87
2025-11-12 21:17:06,2025-11-13 22:01:38,UTC-08:00,61,57,63,33.77,95.93,13.4,2510,168,67,2025-11-12 21:17:06,2025-11-13 07:10:46,94,15.7,562,593,249,172,141,31,468,0,95,85
2025-11-11 21:34:03,2025-11-12 21:17:06,UTC-08:00,80,56,77,33.96,97.00,12.3,2368,159,64,2025-11-11 21:34:03,2025-11-12 06:48:14,92,15.3,531,554,338,122,71,23,493,20,96,82
2025-11-10 20:34:23,2025-11-11 21:34:03,UTC-08:00,,,,,,13.1,1080,171,73,,,,,,,,,,,,,,
2025-11-09 21:41:55,2025-11-10 20:34:23,UTC-08:00,67,54,71,33.82,95.81,4.2,1841,117,65,2025-11-09 21:41:55,2025-11-10 05:46:38,93,15.0,469,484,249,156,64,15,502,0,96,86
2025-11-08 20:34:23,2025-11-09 21:41:55,UTC-08:00,95,55,91,34.20,95.59,17.6,3344,172,72,2025-11-08 20:34:23,2025-11-09 05:39:33,89,15.4,504,545,275,174,55,41,450,0,92,75
