"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
108512095,"2025-11-16 19:02:00","33:51 row",33:51.2,2031.2,,,7014,,24,827,2:24.7,115,696,391,145,103,49,Hwt,RowErg,No,,"2025-11-17 03:02:43"
108478523,"2025-11-15 19:20:00","1:00:06 row",1:00:06.3,3606.3,,,12423,,25,1526,2:25.1,114,693,688,168,87,49,Hwt,RowErg,No,,"2025-11-16 03:20:53"
108444550,"2025-11-14 18:50:00","25:57 row",25:57.7,1557.7,,,5016,,22,595,2:35.2,93,621,266,139,104,49,Hwt,RowErg,No,,"2025-11-15 02:51:42"
108408152,"2025-11-13 19:47:00","22:39 row",22:39.4,1359.4,,,4515,,24,556,2:30.5,103,653,244,159,102,49,Hwt,RowErg,No,,"2025-11-14 03:48:20"
108406912,"2025-11-13 19:14:00","v1:00/0:39r...15 row",15:00.0,900,14:32.0,872,3478,223,28,428,2:09.3,162,856,207,153,102,49,Hwt,RowErg,No,,"2025-11-14 03:15:27"
108365799,"2025-11-12 19:36:00","53:59 row",53:59.5,3239.5,,,10557,,23,1287,2:33.4,97,633,566,146,99,49,Hwt,RowErg,No,,"2025-11-13 03:37:05"
108319659,"2025-11-11 19:38:00","v300m/0:42r...12 row",16:27.3,987.3,9:37.0,577,3600,181,26,431,2:17.1,136,767,205,151,108,49,Hwt,RowErg,No,,"2025-11-12 03:38:45"
108319313,"2025-11-11 19:10:00","21:42 row",21:42.5,1302.5,,,4516,,24,530,2:24.2,117,701,251,138,107,49,Hwt,RowErg,No,,"2025-11-12 03:10:17"
108227048,"2025-11-09 19:43:00","1:00:06 row",1:00:06.2,3606.2,,,12106,,24,1496,2:28.9,106,664,660,154,89,49,Hwt,RowErg,No,,"2025-11-10 03:43:20"
108210729,"2025-11-09 07:49:00","55:06 row",55:06.5,3306.5,,,11068,,24,1349,2:29.3,105,661,601,155,95,49,Hwt,RowErg,No,,"2025-11-09 15:49:33"
108163093,"2025-11-07 19:20:00","v1:30/0:49r...10 row",15:00.0,900,8:37.0,517,3300,213,27,420,2:16.3,138,775,188,160,106,49,Hwt,RowErg,No,,"2025-11-08 03:21:10"
108162894,"2025-11-07 18:54:00","20:59 row",20:59.7,1259.7,,,4513,,25,541,2:19.5,129,743,258,145,106,49,Hwt,RowErg,No,,"2025-11-08 02:54:50"
108126215,"2025-11-06 20:24:00","1:01:06 row",1:01:06.0,3666,,,12016,,24,1478,2:32.5,99,639,645,153,99,49,Hwt,RowErg,No,,"2025-11-07 04:25:26"
108081958,"2025-11-05 19:44:00","31:31 row",31:31.4,1891.4,,,6517,,25,796,2:25.1,115,694,362,154,99,49,Hwt,RowErg,No,,"2025-11-06 03:45:00"
107991431,"2025-11-03 19:37:00","v300m/0:32r...10 row",14:19.0,859,7:22.0,442,3000,165,25,371,2:23.1,119,710,164,159,103,49,Hwt,RowErg,No,,"2025-11-04 03:38:00"
107991155,"2025-11-03 19:13:00","21:22 row",21:22.6,1282.6,,,4516,,24,530,2:22.0,122,720,255,149,103,49,Hwt,RowErg,No,,"2025-11-04 03:13:44"
107945623,"2025-11-02 19:49:00","1:05:20 row",1:05:20.7,3920.7,,,13015,,23,1560,2:30.6,102,652,704,154,209,49,Hwt,RowErg,No,,"2025-11-03 03:50:17"
107912473,"2025-11-01 19:10:00","4:45 row",4:45.7,285.7,,,1013,,26,122,2:21.0,125,729,57,167,107,49,Hwt,RowErg,No,,"2025-11-02 02:11:10"
107912433,"2025-11-01 19:03:00","v1:00/0:52r...10 row",10:00.0,600,9:05.0,545,2352,175,29,302,2:07.5,169,880,142,142,108,49,Hwt,RowErg,No,,"2025-11-02 02:04:40"
107912287,"2025-11-01 18:43:00","17:14 row",17:14.8,1034.8,,,3515,,24,425,2:27.1,110,677,192,156,107,49,Hwt,RowErg,No,,"2025-11-02 01:44:12"
107864040,"2025-10-31 07:51:00","52:30 row",52:30.8,3150.8,,,10010,,23,1223,2:37.3,90,608,529,154,105,49,Hwt,RowErg,No,,"2025-10-31 14:52:33"
107805338,"2025-10-29 19:32:00","40:07 row",40:07.5,2407.5,,,7535,,23,946,2:39.7,86,595,395,149,105,49,Hwt,RowErg,No,,"2025-10-30 02:33:08"
107804803,"2025-10-29 18:46:00","v1000m/1:17r...5 row",14:24.3,864.3,4:37.0,277,3000,70,25,369,2:24.0,117,702,167,148,106,49,Hwt,RowErg,No,,"2025-10-30 01:47:23"
107763681,"2025-10-28 20:29:00","1:00:06 row",1:00:06.8,3606.8,,,11620,,23,1416,2:35.1,94,622,618,156,98,49,Hwt,RowErg,No,,"2025-10-29 03:29:36"
107718468,"2025-10-27 20:03:00","v500m/1:08r...12 row",19:25.8,1165.8,12:20.0,740,4000,253,25,514,2:25.7,113,689,219,144,109,49,Hwt,RowErg,No,,"2025-10-28 03:03:50"
107718117,"2025-10-27 19:29:00","v1000m/1:44r...5 row",14:33.3,873.3,4:19.0,259,3000,57,25,368,2:25.5,114,690,165,141,109,49,Hwt,RowErg,No,,"2025-10-28 02:29:58"
107673232,"2025-10-26 20:14:00","1:15:14 row",1:15:14.4,4514.4,,,14153,,22,1744,2:39.4,86,596,744,154,198,49,Hwt,RowErg,No,,"2025-10-27 03:15:05"
107633410,"2025-10-25 12:25:00","30:38 row",30:38.8,1838.8,,,6014,,24,750,2:32.8,98,637,322,144,94,49,Hwt,RowErg,No,,"2025-10-25 19:25:39"
107609505,"2025-10-24 19:36:00","31:22 row",31:22.4,1882.4,,,6019,,23,749,2:36.3,92,615,318,159,103,49,Hwt,RowErg,No,,"2025-10-25 02:37:33"
107609203,"2025-10-24 18:56:00","v1000m/1:59r...5 row",13:57.3,837.3,5:36.0,336,3000,58,27,378,2:19.5,129,743,171,155,102,49,Hwt,RowErg,No,,"2025-10-25 01:57:40"
107575538,"2025-10-23 20:11:00","31:19 row",31:19.6,1879.6,,,6015,,23,731,2:36.2,92,615,319,154,97,49,Hwt,RowErg,No,,"2025-10-24 03:11:35"
107575242,"2025-10-23 19:35:00","v1000m/1:41r...5 row",14:07.4,847.4,4:40.0,280,3000,59,26,383,2:21.2,124,727,168,156,97,49,Hwt,RowErg,No,,"2025-10-24 02:35:33"
107537360,"2025-10-22 19:50:00","37:24 row",37:24.6,2244.6,,,7016,,22,847,2:39.9,86,594,368,150,102,49,Hwt,RowErg,No,,"2025-10-23 02:50:40"
107536082,"2025-10-22 19:01:00","v1000m/2:03r...5 row",14:23.3,863.3,6:13.0,373,3000,77,25,366,2:23.8,117,704,166,148,102,49,Hwt,RowErg,No,,"2025-10-23 02:01:40"
107451437,"2025-10-20 20:02:00","31:12 row",31:12.6,1872.6,,,6020,,23,727,2:35.5,93,620,319,153,107,49,Hwt,RowErg,No,,"2025-10-21 03:02:32"
107451070,"2025-10-20 19:23:00","2:28 row",2:28.5,148.5,,,517,,24,60,2:23.6,118,706,29,160,107,49,Hwt,RowErg,No,,"2025-10-21 02:23:36"
107451008,"2025-10-20 19:18:00","v1000m/2:23r...5 row",14:18.9,858.9,6:18.0,378,3000,64,24,357,2:23.1,119,710,168,148,107,49,Hwt,RowErg,No,,"2025-10-21 02:19:13"
107410685,"2025-10-19 19:24:00","1:04:22 row",1:04:22.9,3862.9,,,12011,,22,1404,2:40.8,84,589,626,140,103,49,Hwt,RowErg,No,,"2025-10-20 02:25:18"
107383101,"2025-10-18 19:05:00","1:01:05 row",1:01:05.9,3665.9,,,11013,,21,1299,2:46.4,76,561,566,135,95,49,Hwt,RowErg,No,,"2025-10-19 02:05:49"
107324868,"2025-10-16 19:05:00","30:47 row",30:47.2,1847.2,,,6089,,24,760,2:31.6,100,645,328,148,101,49,Hwt,RowErg,No,,"2025-10-17 02:05:47"
107287954,"2025-10-15 19:08:00","41:48 row",41:48.4,2508.4,,,8017,,23,1006,2:36.4,91,614,424,156,102,49,Hwt,RowErg,No,,"2025-10-16 02:09:14"
107287234,"2025-10-15 18:18:00","v1000m/2:34r...5 row",14:55.9,895.9,4:43.0,283,3000,84,24,380,2:29.3,105,661,163,151,102,49,Hwt,RowErg,No,,"2025-10-16 01:18:58"
107248214,"2025-10-14 19:46:00","41:54 row",41:54.4,2514.4,,,8014,,23,1002,2:36.8,91,612,425,158,99,49,Hwt,RowErg,No,,"2025-10-15 02:47:09"
107247569,"2025-10-14 18:57:00","v1000m/1:15r...5 row",15:03.1,903.1,3:39.0,219,3000,57,25,375,2:30.5,103,653,160,146,100,49,Hwt,RowErg,No,,"2025-10-15 01:57:51"
107204870,"2025-10-13 19:51:00","1:10:06 row",1:10:06.1,4206.1,,,13514,,23,1696,2:35.6,93,619,717,155,166,49,Hwt,RowErg,No,,"2025-10-14 02:51:08"
107162903,"2025-10-12 19:34:00","30:53 row",30:53.6,1853.6,,,6014,,24,756,2:34.1,96,629,321,152,104,49,Hwt,RowErg,No,,"2025-10-13 02:35:00"
107134406,"2025-10-11 19:53:00","v3:00/0:59r...8 row",24:00.0,1440,8:46.0,526,4945,112,26,634,2:25.6,113,690,273,156,102,49,Hwt,RowErg,No,,"2025-10-12 02:53:53"
107134160,"2025-10-11 19:16:00","v1000m/1:33r...6 row",16:03.3,963.3,6:35.0,395,3500,97,27,441,2:17.6,134,762,203,148,101,49,Hwt,RowErg,No,,"2025-10-12 02:16:12"
107069142,"2025-10-09 15:49:00","30:07 row",30:07.4,1807.4,,,5818,,23,721,2:35.3,93,621,309,151,102,49,Hwt,RowErg,No,,"2025-10-09 22:50:56"
107068262,"2025-10-09 15:09:00","v1000m/2:06r...5 row",14:57.6,897.6,5:37.0,337,3000,70,25,381,2:29.6,105,659,162,0,102,49,Hwt,RowErg,No,,"2025-10-09 22:10:58"
107031634,"2025-10-08 16:41:00","22:23 row",22:23.4,1343.4,,,4514,,25,562,2:28.8,106,665,246,156,101,49,Hwt,RowErg,No,,"2025-10-08 23:41:19"
107030632,"2025-10-08 16:09:00","v1000m/1:26r...6 row",16:51.2,1011.2,5:39.0,339,3500,77,25,437,2:24.4,116,699,194,154,101,49,Hwt,RowErg,No,,"2025-10-08 23:09:17"
106988404,"2025-10-07 15:39:00","5:05 row",5:05.1,305.1,,,1013,,25,129,2:30.5,102,652,54,164,50,49,Hwt,RowErg,No,,"2025-10-07 22:39:22"
106988202,"2025-10-07 15:30:00","40:29 row",40:29.4,2429.4,,,8020,,24,997,2:31.4,101,646,433,117,100,49,Hwt,RowErg,No,,"2025-10-07 22:31:14"
106950705,"2025-10-06 19:35:00","31:09 row",31:09.7,1869.7,,,6014,,23,744,2:35.4,93,620,319,160,98,49,Hwt,RowErg,No,,"2025-10-07 02:36:17"
106950261,"2025-10-06 18:58:00","v1000m/1:09r...5 row",14:48.6,888.6,4:07.0,247,3000,68,25,383,2:28.1,108,670,163,156,98,49,Hwt,RowErg,No,,"2025-10-07 01:59:20"
106909874,"2025-10-05 19:57:00","51:01 row",51:01.1,3061.1,,,10072,,24,1247,2:31.9,100,643,543,156,103,49,Hwt,RowErg,No,,"2025-10-06 02:58:07"
106877566,"2025-10-04 16:27:00","25:41 row",25:41.7,1541.7,,,5015,,25,645,2:33.7,96,631,268,163,106,49,Hwt,RowErg,No,,"2025-10-04 23:27:36"
106877276,"2025-10-04 15:56:00","v1000m/2:25r...5 row",15:00.8,900.8,5:04.0,304,3000,78,25,396,2:30.1,103,655,162,145,106,49,Hwt,RowErg,No,,"2025-10-04 22:57:03"
106814574,"2025-10-02 19:51:00","26:42 row",26:42.2,1602.2,,,5017,,23,637,2:39.6,86,595,263,149,101,49,Hwt,RowErg,No,,"2025-10-03 02:52:45"
106814208,"2025-10-02 19:14:00","1000m row",5:10.7,310.7,,,1000,,24,126,2:35.3,93,621,50,147,101,49,Hwt,RowErg,No,,"2025-10-03 02:15:38"
106814140,"2025-10-02 19:07:00","v1000m/1:43r...5 row",15:21.8,921.8,5:59.0,359,3000,82,25,386,2:33.6,97,632,158,147,101,49,Hwt,RowErg,No,,"2025-10-03 02:08:22"
106776982,"2025-10-01 19:24:00","31:42 row",31:42.7,1902.7,,,6013,,23,757,2:38.2,88,604,317,151,105,49,Hwt,RowErg,No,,"2025-10-02 02:24:35"
