Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2025-11-15 22:25:13,2025-11-16 21:46:47,UTC-08:00,2025-11-16 18:21:01,2025-11-16 19:01:09,40,12.0,454.0,169,140,23,27,32,16,0,false
2025-11-14 21:30:09,2025-11-15 22:25:13,UTC-08:00,2025-11-15 18:20:42,2025-11-15 19:20:48,60,16.1,835.0,175,152,14,12,22,52,0,false
2025-11-13 22:01:38,2025-11-14 21:30:09,UTC-08:00,2025-11-14 18:24:02,2025-11-14 18:50:00,25,7.1,209.0,148,126,40,47,0,0,0,false
2025-11-12 21:17:06,2025-11-13 22:01:38,UTC-08:00,2025-11-13 19:24:20,2025-11-13 19:47:00,22,9.0,252.0,165,139,25,19,53,2,0,false
2025-11-12 21:17:06,2025-11-13 22:01:38,UTC-08:00,2025-11-13 18:44:28,2025-11-13 19:14:00,29,8.6,272.0,168,129,27,24,30,9,0,false
2025-11-11 21:34:03,2025-11-12 21:17:06,UTC-08:00,2025-11-12 18:42:00,2025-11-12 19:36:00,53,11.1,504.0,159,131,32,54,9,0,0,false
2025-11-10 20:34:23,2025-11-11 21:34:03,UTC-08:00,2025-11-11 19:11:55,2025-11-11 19:38:00,26,8.9,279.0,168,138,24,39,27,8,0,false
2025-11-10 20:34:23,2025-11-11 21:34:03,UTC-08:00,2025-11-11 18:48:17,2025-11-11 19:10:00,21,9.0,238.0,163,139,17,18,52,4,0,false
2025-11-08 20:34:23,2025-11-09 21:41:55,UTC-08:00,2025-11-09 18:43:08,2025-11-09 19:43:15,60,13.4,666.0,169,139,20,33,41,4,0,false
2025-11-08 20:34:23,2025-11-09 21:41:55,UTC-08:00,2025-11-09 06:54:22,2025-11-09 07:49:29,55,13.2,607.0,172,139,31,22,34,11,0,false
2025-11-06 22:04:46,2025-11-07 21:12:51,UTC-08:00,2025-11-07 18:56:23,2025-11-07 19:20:00,23,9.4,274.0,168,142,18,22,44,16,0,false
2025-11-06 22:04:46,2025-11-07 21:12:51,UTC-08:00,2025-11-07 18:33:00,2025-11-07 18:54:00,20,9.6,251.0,171,143,24,20,27,29,0,false
2025-11-05 21:50:39,2025-11-06 22:04:46,UTC-08:00,2025-11-06 19:22:54,2025-11-06 20:24:00,61,13.8,708.0,163,142,20,23,57,0,0,false
2025-11-04 23:51:04,2025-11-05 21:50:39,UTC-08:00,2025-11-05 19:06:03,2025-11-05 19:42:52,36,12.2,439.0,173,143,20,19,37,22,0,false
2025-11-02 21:16:53,2025-11-03 22:06:02,UTC-08:00,2025-11-03 19:15:19,2025-11-03 19:37:00,21,8.5,245.0,169,141,16,35,43,6,0,false
2025-11-02 21:16:53,2025-11-03 22:06:02,UTC-08:00,2025-11-03 18:51:37,2025-11-03 19:13:00,21,11.2,285.0,175,149,13,8,20,53,0,false
2025-11-01 19:28:20,2025-11-02 21:16:53,UTC-08:00,2025-11-02 18:43:39,2025-11-02 19:49:00,65,15.0,815.0,169,146,18,17,50,15,0,false
2025-10-31 22:14:48,2025-11-01 20:28:20,UTC-07:00,2025-11-01 19:05:14,2025-11-01 19:10:00,4,5.3,57.0,168,144,28,31,15,26,0,false
2025-10-31 22:14:48,2025-11-01 20:28:20,UTC-07:00,2025-11-01 18:43:55,2025-11-01 19:03:00,19,7.1,177.0,170,131,24,35,22,10,0,false
2025-10-31 22:14:48,2025-11-01 20:28:20,UTC-07:00,2025-11-01 18:25:45,2025-11-01 18:43:00,17,8.1,187.0,164,138,17,20,42,12,0,false
2025-10-30 20:25:16,2025-10-31 22:14:48,UTC-07:00,2025-10-31 16:15:06,2025-10-31 16:16:26,1,0.0,2.0,85,70,0,0,0,0,0,false
2025-10-30 20:25:16,2025-10-31 22:14:48,UTC-07:00,2025-10-31 06:58:29,2025-10-31 07:51:00,52,13.2,600.0,165,141,20,18,56,4,0,false
2025-10-28 22:16:12,2025-10-29 22:15:43,UTC-07:00,2025-10-29 18:51:52,2025-10-29 19:32:00,40,11.8,476.0,155,143,10,39,51,0,0,false
2025-10-28 22:16:12,2025-10-29 22:15:43,UTC-07:00,2025-10-29 18:26:58,2025-10-29 18:46:00,19,6.2,142.0,153,122,31,44,6,0,0,false
2025-10-27 21:46:52,2025-10-28 22:16:12,UTC-07:00,2025-10-28 19:29:24,2025-10-28 20:29:31,60,15.1,802.0,172,150,10,16,61,13,0,false
2025-10-26 22:34:20,2025-10-27 21:46:52,UTC-07:00,2025-10-27 19:31:14,2025-10-27 20:03:00,31,7.0,228.0,151,122,51,40,2,0,0,false
2025-10-26 22:34:20,2025-10-27 21:46:52,UTC-07:00,2025-10-27 19:10:07,2025-10-27 19:29:00,18,5.3,99.0,147,107,29,31,0,0,0,false
2025-10-25 21:48:46,2025-10-26 22:34:20,UTC-07:00,2025-10-26 18:58:45,2025-10-26 20:14:00,75,15.7,957.0,171,147,13,21,55,11,0,false
2025-10-24 21:48:14,2025-10-25 21:48:46,UTC-07:00,2025-10-25 11:49:06,2025-10-25 12:24:22,35,12.0,423.0,171,143,19,16,41,21,0,false
2025-10-24 21:48:14,2025-10-25 21:48:46,UTC-07:00,2025-10-25 11:47:08,2025-10-25 11:49:01,1,0.0,2.0,77,64,0,0,0,0,0,false
2025-10-23 21:54:12,2025-10-24 21:48:14,UTC-07:00,2025-10-24 19:04:37,2025-10-24 19:36:00,31,11.7,400.0,164,147,11,21,64,4,0,false
2025-10-23 21:54:12,2025-10-24 21:48:14,UTC-07:00,2025-10-24 18:36:26,2025-10-24 18:56:00,19,6.9,168.0,167,126,27,37,21,3,0,false
2025-10-22 22:24:39,2025-10-23 21:54:12,UTC-07:00,2025-10-23 19:39:40,2025-10-23 20:11:00,31,12.0,420.0,164,150,3,15,81,1,0,false
2025-10-22 22:24:39,2025-10-23 21:54:12,UTC-07:00,2025-10-23 19:16:12,2025-10-23 19:35:00,18,6.9,165.0,165,127,29,38,20,3,0,false
2025-10-21 21:22:38,2025-10-22 22:24:39,UTC-07:00,2025-10-22 19:12:35,2025-10-22 19:50:00,37,10.8,403.0,163,139,25,42,33,0,0,false
2025-10-21 21:22:38,2025-10-22 22:24:39,UTC-07:00,2025-10-22 18:40:23,2025-10-22 19:01:00,20,6.4,155.0,161,123,38,31,14,0,0,false
2025-10-19 21:56:03,2025-10-20 22:04:06,UTC-07:00,2025-10-20 19:30:47,2025-10-20 20:02:00,31,11.0,373.0,160,144,14,20,66,0,0,false
2025-10-19 21:56:03,2025-10-20 22:04:06,UTC-07:00,2025-10-20 19:20:31,2025-10-20 19:23:00,2,4.3,22.0,158,130,49,18,33,0,0,false
2025-10-19 21:56:03,2025-10-20 22:04:06,UTC-07:00,2025-10-20 18:57:23,2025-10-20 19:18:00,20,5.8,133.0,157,118,55,20,9,0,0,false
2025-10-18 21:37:32,2025-10-19 21:56:03,UTC-07:00,2025-10-19 18:19:37,2025-10-19 19:24:00,64,11.6,598.0,158,132,23,66,5,0,0,false
2025-10-17 21:27:58,2025-10-18 21:37:32,UTC-07:00,2025-10-18 18:03:54,2025-10-18 19:05:00,61,9.7,459.0,154,124,56,29,1,0,0,false
2025-10-15 21:45:24,2025-10-16 20:57:26,UTC-07:00,2025-10-16 18:30:32,2025-10-16 19:05:23,34,11.8,423.0,177,144,12,24,49,14,0,false
2025-10-14 21:48:52,2025-10-15 21:45:24,UTC-07:00,2025-10-15 18:26:11,2025-10-15 19:08:00,41,13.3,552.0,165,149,11,14,67,8,0,false
2025-10-14 21:48:52,2025-10-15 21:45:24,UTC-07:00,2025-10-15 17:58:21,2025-10-15 18:18:00,19,7.2,181.0,158,130,22,38,26,0,0,false
2025-10-13 22:08:20,2025-10-14 21:48:52,UTC-07:00,2025-10-14 19:04:05,2025-10-14 19:46:00,41,13.7,575.0,169,151,8,10,70,12,0,false
2025-10-13 22:08:20,2025-10-14 21:48:52,UTC-07:00,2025-10-14 18:38:17,2025-10-14 18:57:00,18,6.6,162.0,153,127,26,57,7,0,0,false
2025-10-12 21:01:16,2025-10-13 22:08:20,UTC-07:00,2025-10-13 18:40:58,2025-10-13 19:51:04,70,15.4,889.0,167,147,15,18,57,10,0,false
2025-10-12 00:00:00,2025-10-12 21:01:16,UTC-07:00,2025-10-12 19:03:06,2025-10-12 19:34:00,30,10.1,335.0,162,139,22,30,45,0,0,false
2025-10-04 21:06:48,2025-10-05 21:19:12,UTC-07:00,2025-10-05 19:05:58,2025-10-05 19:57:00,51,14.0,644.0,171,147,14,22,45,18,0,false
