date,c2_workouts,c2_distance_m,c2_work_time_s,c2_avg_watts,c2_avg_hr,c2_total_cal,whoop_workouts,whoop_duration_min,whoop_activity_strain,whoop_energy_cal,whoop_avg_hr,whoop_max_hr,whoop_recovery_pct,whoop_rhr_bpm,whoop_hrv_ms,whoop_skin_temp_c,whoop_blood_oxygen_pct,whoop_day_strain,whoop_day_energy_cal,whoop_sleep_performance_pct,whoop_sleep_efficiency_pct,whoop_asleep_min,whoop_in_bed_min,whoop_light_sleep_min,whoop_deep_sleep_min,whoop_rem_sleep_min,whoop_awake_min,whoop_sleep_need_min,whoop_sleep_debt_min,apple_Body temperature(degF),apple_Event: High heart rate,apple_Event: Irregular heart rhythm,apple_Event: Low heart rate,apple_Heart rate(count/min),apple_Heart rate variability (SDNN)(ms),apple_Respiratory Rate(count/min),apple_Resting heart rate(count/min),apple_State of Mind(Valence),apple_Time REM(hr),apple_Time asleep(hr),apple_Time awake(hr),apple_Time core(hr),apple_Time deep(hr),apple_Time in bed(hr),apple_Time in daylight(min),apple_VO2 Max(mL/min·kg),apple_Walking asymmetry percentage(%),apple_Walking double support percentage(%),apple_Walking heart rate average(count/min),apple_Walking speed(mi/hr),apple_Walking steadiness(%),apple_Walking steadiness notification,apple_Walking step length(in),apple_Wrist temperature(degF)
2021-06-24,,,,,,,1.0,50.0,13.5,612.0,146.0,171.0,68.0,45.0,56.0,,,13.65,1597.0,82.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,,,,,,,1.0,40.0,13.4,487.0,145.0,176.0,,,,,,,,,,398.0,484.0,290.0,84.0,24.0,86.0,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,,,,,,,,,,,,,74.0,44.5,61.5,,,9.45,2045.5,79.0,91.0,370.0,433.0,280.0,65.0,25.0,63.0,516.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,,,,,,,1.0,44.0,14.0,548.0,144.0,180.0,68.0,43.0,56.0,,,12.9,2216.0,80.0,84.0,443.0,476.0,330.0,84.0,29.0,33.0,513.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,,,,,,,1.0,20.0,11.9,308.0,156.0,177.0,61.0,47.0,47.0,,,4.3,1888.0,98.0,91.0,419.0,497.0,282.0,92.0,45.0,78.0,525.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-29,,,,,,,1.0,50.0,4.1,69.0,76.0,118.0,45.0,45.0,45.0,,,15.6,2396.0,98.0,95.0,509.0,557.0,367.0,87.0,55.0,48.0,517.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,1.0,43.0,15.1,629.0,152.0,177.0,50.0,45.0,49.0,,,15.1,2314.0,93.0,92.0,448.0,476.0,314.0,111.0,23.0,28.0,456.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,,,,,,,1.0,41.0,14.7,593.0,152.0,181.0,48.0,48.0,47.0,,,14.1,2428.0,100.0,75.0,460.0,496.0,302.0,96.0,62.0,36.0,495.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,,,,,,,1.0,37.0,13.7,487.0,146.0,176.0,71.0,46.0,51.0,,,4.2,1737.0,90.0,92.0,506.0,676.0,311.0,108.0,87.0,170.0,505.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-03,,,,,,,,,,,,,63.0,47.0,48.0,,,4.0,1731.0,100.0,87.0,429.0,465.0,273.0,84.0,72.0,36.0,479.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
