Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2025-11-17 19:46:48,,UTC-08:00,2025-11-17 19:46:48,2025-11-18 05:09:22,80,15.5,492,562,261,154,77,70,454,4,87,53,false
2025-11-16 21:46:47,2025-11-17 19:46:48,UTC-08:00,2025-11-16 21:46:47,2025-11-17 05:54:53,85,15.4,462,488,260,123,79,26,472,0,94,69,false
2025-11-15 22:25:13,2025-11-16 21:46:47,UTC-08:00,2025-11-15 22:25:13,2025-11-16 08:10:00,84,14.5,524,584,290,163,71,60,420,0,89,62,false
2025-11-14 21:30:09,2025-11-15 22:25:13,UTC-08:00,2025-11-15 14:04:13,2025-11-15 15:26:43,29,17.3,79,82,72,7,0,3,449,0,95,,true
2025-11-14 21:30:09,2025-11-15 22:25:13,UTC-08:00,2025-11-14 21:30:09,2025-11-15 06:58:27,99,15.4,549,568,329,133,87,19,454,0,96,89,false
2025-11-13 22:01:38,2025-11-14 21:30:09,UTC-08:00,2025-11-13 22:01:38,2025-11-14 06:38:26,97,15.0,477,516,227,170,80,39,473,0,92,87,false
2025-11-12 21:17:06,2025-11-13 22:01:38,UTC-08:00,2025-11-12 21:17:06,2025-11-13 07:10:46,94,15.7,562,593,249,172,141,31,468,0,95,85,false
2025-11-11 21:34:03,2025-11-12 21:17:06,UTC-08:00,2025-11-11 21:34:03,2025-11-12 06:48:14,92,15.3,531,554,338,122,71,23,493,20,96,82,false
2025-11-09 21:41:55,2025-11-10 20:34:23,UTC-08:00,2025-11-09 21:41:55,2025-11-10 05:46:38,93,15.0,469,484,249,156,64,15,502,0,96,86,false
2025-11-08 20:34:23,2025-11-09 21:41:55,UTC-08:00,2025-11-08 20:34:23,2025-11-09 05:39:33,89,15.4,504,545,275,174,55,41,450,0,92,75,false
2025-11-07 21:12:51,2025-11-08 20:34:23,UTC-08:00,2025-11-07 21:12:51,2025-11-08 06:02:28,89,15.2,486,529,238,159,89,43,475,0,91,78,false
2025-11-06 22:04:46,2025-11-07 21:12:51,UTC-08:00,2025-11-06 22:04:46,2025-11-07 06:51:18,93,15.1,511,526,141,151,219,15,495,13,97,82,false
2025-11-05 21:50:39,2025-11-06 22:04:46,UTC-08:00,2025-11-05 21:50:39,2025-11-06 07:00:46,84,16.0,509,550,268,121,120,41,535,64,92,70,false
