Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Meditated?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Consumed dairy?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Masturbated?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Took fish oil?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Commuted to work?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Worked late?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Took creatine?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Ate food close to bedtime?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Consumed protein?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Took a multivitamin?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Consumed carbohydrates?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Engaged in sexual activity?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Consumed fats?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Have any alcoholic drinks?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Took a melatonin supplement?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Felt emotionally and mentally stable?,true,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Experienced stress?,false,
2022-01-15 23:53:32,2022-01-16 22:23:40,UTC-08:00,Took vitamin D?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Engaged in sexual activity?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Ate food close to bedtime?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Took creatine?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Took vitamin D?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Consumed protein?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Consumed dairy?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Consumed fats?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Felt emotionally and mentally stable?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Took a melatonin supplement?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Commuted to work?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Masturbated?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Experienced stress?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Took a multivitamin?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Consumed carbohydrates?,true,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Have any alcoholic drinks?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Meditated?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Worked late?,false,
2022-01-14 21:46:02,2022-01-15 23:53:32,UTC-08:00,Took fish oil?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Meditated?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Took fish oil?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Consumed protein?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Have any alcoholic drinks?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Felt emotionally and mentally stable?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Consumed carbohydrates?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Took creatine?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Commuted to work?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Consumed dairy?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Took vitamin D?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Masturbated?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Ate food close to bedtime?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Took a multivitamin?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Engaged in sexual activity?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Worked late?,false,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Experienced stress?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Took a melatonin supplement?,true,
2022-01-13 22:58:49,2022-01-14 21:46:02,UTC-08:00,Consumed fats?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Experienced stress?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Consumed protein?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Ate food close to bedtime?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Felt emotionally and mentally stable?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Took fish oil?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Commuted to work?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Consumed fats?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Took a melatonin supplement?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Masturbated?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Have any alcoholic drinks?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Worked late?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Took creatine?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Meditated?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Consumed dairy?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Consumed carbohydrates?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Engaged in sexual activity?,false,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Took vitamin D?,true,
2022-01-12 22:26:02,2022-01-13 22:58:49,UTC-08:00,Took a multivitamin?,true,
2022-01-12 00:03:39,2022-01-12 22:26:02,UTC-08:00,Experienced stress?,true,
2022-01-12 00:03:39,2022-01-12 22:26:02,UTC-08:00,Consumed fats?,true,
2022-01-12 00:03:39,2022-01-12 22:26:02,UTC-08:00,Worked late?,true,
